question,answer
When was Orion Analytics founded?,2014
What was the company’s total revenue in 2024?,$286.4 million
Which region contributed the most revenue in 2024?,North America
What percentage of total revenue came from Europe?,27%
How much did operating expenses increase by?,8%
What was Orion’s net profit in 2024?,$47.3 million
Name Orion’s three main product lines.,"Orion Insight, Orion Stream, Orion Guard"
Which product was introduced in 2024 Q2?,Orion Guard
How much revenue did Orion Guard generate in its first two quarters?,$19 million
By what percentage did the R&D AI team expand?,30%
Which university did Orion partner with for research in 2024?,MIT
What is the purpose of the Green Compute initiative?,To reduce GPU power consumption during training
What was the reduction in carbon emissions achieved since 2022?,23%
Who were the two new board members added in 2024?,Dr. Aisha Patel and Michael Chen
What areas of AI research did the company focus on?,Deep learning explainability and multimodal data fusion
